leg,sym,pass,score,nbpR,segpos,rf,oneop,ops,win,sizing,smaP,slowP,mult,step,tpR,trailR,half,mgmtTF,stack,extop1R,nmonster,addtrig,lineplace,nback,buffer,segpos_ex3,h1R,h2R,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25,w26,w27,w28,w29,w30,w31,w32,w33,w34,w35,w36,w37,w38,w39,w40,w41,w42,w43,w44,w45,w46,w47,w48,w49,w50,w51,w52,w53,w54,w55,w56,w57,w58,w59,w60,w61,w62,w63,w64,w65,w66,w67,w68,w69,w70,w71,w72,w73,w74,w75,w76,w77,w78,w79,w80,w81,w82,w83,w84,w85,w86,w87,w88,w89,w90,w91,w92,w93,w94,w95,w96,w97,w98,w99,w100,w101,w102,w103,w104,w105,w106,w107,w108,w109,w110,w111,w112,w113,w114,w115,w116,w117,w118,w119,w120,w121,w122,w123,w124,w125,w126,w127,w128,w129
BtcGF,BTCUSDc,19,9.8185,19.637,3,0.9079,70.04,401,37.1571,1,15,0,0.015,2.0,1.5,0.0,0.5,16385,1,5.883,6,0,1,15,0.3,2,4.525,15.112,4.472,2.97,-0.028,-1.0,-1.0,0.994,2.976,-3.0,1.496,0.961,-0.508,-2.505,-0.506,-3.0,-1.521,3.482,0.995,0.989,-1.009,-1.028,1.464,-1.501,2.682,-2.51,-1.501,-1.507,-0.5,-3.5,-0.345,-1.5,-0.505,2.76,0.196,-1.505,-4.0,14.74,-2.0,-1.024,-2.0,-3.0,3.34,-2.0,-1.0,-4.0,3.981,4.978,-1.501,2.0,-3.0,0.0,-1.0,0.0,3.081,2.978,-1.0,-1.0,0.0,-1.0,1.494,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,1.499,-1.0,0.0,0.0,1.498,-2.0,-0.506,1.498,3.639,-2.0,0.5,3.173,0.494,4.959,-2.492,1.494,1.974,9.432,6.37,-1.516,-1.452,-2.508,0.996,-4.0,-5.0,1.971,8.081,-2.513,-2.481,0.989,3.465,1.132,-2.507,3.979,1.485,1.634,-2.504,-1.004,0.988,-4.504,-2.527,-6.0,-4.0,4.424,-1.503,-4.0,0.488,4.972,1.995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcGF,BTCUSDc,14,14.9927,22.489,4,1.1805,20.43,422,49.763,1,15,0,0.015,1.5,1.0,0.0,0.5,16385,1,17.895,0,0,1,15,0.3,3,9.705,12.784,2.982,2.979,-1.019,-1.0,-0.631,2.985,1.977,-0.029,0.997,-0.013,-1.005,-1.005,-1.004,-1.004,-0.01,1.988,-0.003,-0.007,-2.006,-2.018,-0.023,-0.001,2.152,-3.006,2.969,-0.013,0.999,-4.0,-0.583,0.0,0.995,2.096,2.992,-2.004,0.594,-1.009,-1.014,2.342,-2.0,-3.0,1.04,0.11,0.969,-0.003,1.98,2.986,-2.001,1.0,-3.0,0.0,-1.0,0.0,2.013,1.986,0.995,-1.0,0.0,1.99,0.996,0.991,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.999,-1.0,0.0,0.0,0.998,-0.014,2.084,0.998,-0.013,-2.0,0.0,1.988,-0.004,4.965,-1.011,-0.004,-2.01,3.069,2.946,-1.017,-2.005,0.56,1.994,-2.016,-0.705,0.976,3.215,-3.009,-1.991,-0.007,1.975,1.99,3.248,1.973,3.981,-0.017,-3.003,-2.002,-0.008,-5.003,-0.012,-5.005,0.858,2.49,1.378,-2.003,-0.008,2.982,0.997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcGF,BTCUSDc,15,14.9927,22.489,4,1.1805,20.43,422,49.763,1,15,0,0.015,2.0,1.0,0.0,0.5,16385,1,17.895,0,0,1,15,0.3,3,9.705,12.784,2.982,2.979,-1.019,-1.0,-0.631,2.985,1.977,-0.029,0.997,-0.013,-1.005,-1.005,-1.004,-1.004,-0.01,1.988,-0.003,-0.007,-2.006,-2.018,-0.023,-0.001,2.152,-3.006,2.969,-0.013,0.999,-4.0,-0.583,0.0,0.995,2.096,2.992,-2.004,0.594,-1.009,-1.014,2.342,-2.0,-3.0,1.04,0.11,0.969,-0.003,1.98,2.986,-2.001,1.0,-3.0,0.0,-1.0,0.0,2.013,1.986,0.995,-1.0,0.0,1.99,0.996,0.991,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.999,-1.0,0.0,0.0,0.998,-0.014,2.084,0.998,-0.013,-2.0,0.0,1.988,-0.004,4.965,-1.011,-0.004,-2.01,3.069,2.946,-1.017,-2.005,0.56,1.994,-2.016,-0.705,0.976,3.215,-3.009,-1.991,-0.007,1.975,1.99,3.248,1.973,3.981,-0.017,-3.003,-2.002,-0.008,-5.003,-0.012,-5.005,0.858,2.49,1.378,-2.003,-0.008,2.982,0.997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcGF,BTCUSDc,96,-1.4307,-4.292,2,-0.2173,0.0,436,56.1927,1,15,0,0.015,1.5,0.75,0.0,0.5,16385,1,-5.578,0,0,1,20,0.7,2,1.828,-6.12,2.237,2.234,2.719,0.0,-1.256,1.989,0.733,-0.521,0.748,1.234,-1.254,-1.504,-1.253,-1.253,-0.508,1.241,1.994,-1.252,-0.759,-2.514,-0.767,1.246,-0.012,-3.255,1.977,1.241,0.499,-4.25,-1.757,1.247,0.496,0.72,0.608,-2.253,-1.99,1.376,-1.261,0.242,-2.0,-1.256,-2.27,-0.249,0.477,1.981,0.492,1.99,-0.514,0.5,0.488,0.0,1.066,0.0,-0.257,1.489,0.746,-1.0,0.0,1.493,0.747,0.743,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.75,-1.0,0.0,0.0,0.749,-0.256,0.242,0.749,-0.26,-2.0,-0.25,1.49,-0.253,3.723,-1.509,-0.009,-2.507,1.994,4.752,-1.512,-0.468,0.242,1.246,-1.771,-1.139,1.201,-0.763,-3.257,-3.501,-0.506,1.232,-0.008,2.414,0.233,2.737,-0.766,-1.507,-0.752,1.236,-4.252,0.232,-2.756,-3.255,0.728,1.715,-0.503,-0.256,2.734,0.497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcGF,BTCUSDc,60,-1.006,-3.018,2,-0.157,0.0,437,56.0641,1,15,0,0.015,1.5,0.75,0.0,0.5,16385,1,-4.76,0,0,1,20,0.5,2,3.117,-6.135,2.237,2.234,2.719,0.0,-1.256,1.989,0.733,-0.521,0.748,1.234,-1.254,-1.504,-1.253,-1.253,-0.508,1.241,1.994,-1.252,-0.759,-2.514,-0.767,1.246,-0.012,-3.255,1.977,1.241,0.499,-4.25,-1.757,1.247,0.496,0.72,1.024,-2.253,-1.509,1.768,-1.261,0.242,-2.0,-1.256,-2.27,-0.249,0.477,1.981,0.492,1.99,-0.514,0.5,0.488,0.0,1.066,0.0,-0.257,1.489,0.746,-1.0,0.0,1.493,0.747,0.743,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.75,-1.0,0.0,0.0,0.749,-0.256,0.242,0.749,-0.26,-2.0,-0.25,1.49,-0.253,3.723,-1.509,-0.009,-2.507,2.191,4.969,-1.512,-2.754,0.242,1.246,-1.771,-0.796,1.201,-0.763,-3.257,-3.501,-0.506,1.232,-0.008,2.767,0.233,2.737,-0.766,-1.507,-0.752,1.236,-4.252,0.232,-2.756,-2.509,0.728,2.13,-0.503,-0.256,2.734,0.497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcGF,BTCUSDc,97,-1.4093,-4.228,2,-0.2141,0.0,436,56.1927,1,15,0,0.015,2.0,0.75,0.0,0.5,16385,1,-5.514,0,0,1,20,0.7,2,1.828,-6.056,2.237,2.234,2.719,0.0,-1.256,1.989,0.733,-0.521,0.748,1.234,-1.254,-1.504,-1.253,-1.253,-0.508,1.241,1.994,-1.252,-0.759,-2.514,-0.767,1.246,-0.012,-3.255,1.977,1.241,0.499,-4.25,-1.757,1.247,0.496,0.72,0.608,-2.253,-1.99,1.376,-1.261,0.242,-2.0,-1.256,-2.27,-0.249,0.477,1.981,0.492,1.99,-0.514,0.5,0.488,0.0,1.066,0.0,-0.257,1.489,0.746,-1.0,0.0,1.493,0.747,0.743,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.75,-1.0,0.0,0.0,0.749,-0.256,0.242,0.749,-0.26,-2.0,-0.25,1.49,-0.253,3.723,-1.509,-0.009,-2.507,1.994,4.752,-1.512,-0.468,0.242,1.246,-1.771,-1.139,1.201,-0.763,-3.257,-3.501,-0.506,1.232,-0.008,2.414,0.233,2.737,-0.766,-1.507,-0.752,1.236,-4.252,0.232,-2.756,-3.255,0.728,1.779,-0.503,-0.256,2.734,0.497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcGF,BTCUSDc,51,21.0587,31.588,4,2.1053,9.61,419,51.074,1,15,0,0.015,2.0,1.0,0.0,0.5,16385,1,28.552,0,0,1,15,0.5,3,7.332,24.256,2.982,2.979,-1.019,2.286,-0.631,2.985,1.977,-0.029,0.997,-0.013,-1.005,-1.005,-1.004,-1.004,-0.01,1.988,-0.003,-0.007,-2.006,-2.018,-0.023,-0.001,1.585,-3.006,2.969,-0.013,0.999,-4.0,-0.583,0.0,0.995,2.096,2.992,-2.004,-1.448,-1.009,-1.014,2.314,-2.0,-3.0,0.008,0.11,0.969,-0.003,1.98,2.986,-2.001,1.0,-3.0,0.0,-1.0,0.0,2.013,1.986,0.995,-1.0,0.0,1.99,0.996,0.991,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.999,-1.0,0.0,0.0,0.998,-0.014,1.4,0.998,-0.013,-2.0,0.0,1.988,-0.004,4.965,-1.011,-0.004,-2.01,3.069,1.954,-1.017,-2.005,-0.206,1.994,-1.016,1.113,0.976,2.739,1.687,-1.991,-0.007,1.975,1.99,3.248,1.973,3.981,-0.017,-3.003,-2.002,-0.008,-4.003,3.034,-5.005,-0.73,2.49,3.806,-2.003,-0.008,2.982,0.997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcGF,BTCUSDc,29,7.4445,14.889,3,0.6468,41.35,407,42.9975,1,15,0,0.015,2.0,1.25,0.0,0.5,16385,1,8.733,1,0,1,20,0.3,3,-6.215,21.104,3.727,3.723,-1.767,-1.0,-1.0,1.735,1.98,-3.0,1.247,0.483,-0.757,-0.507,-0.755,-0.755,-1.757,2.735,0.495,0.491,-2.753,-1.523,0.721,0.499,2.081,-2.758,0.483,0.483,-0.75,-3.75,-0.26,-1.75,-0.754,0.981,-2.75,-1.754,2.156,-0.511,-2.0,-0.52,-2.0,-3.0,2.253,-2.0,1.461,0.498,2.838,3.982,-0.631,1.5,-3.0,0.0,-1.0,0.0,1.273,2.482,-1.0,-1.0,0.0,0.24,1.245,1.239,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,1.249,-1.0,0.0,0.0,1.248,-2.0,3.662,1.248,0.233,-2.0,0.25,2.484,0.245,6.206,-2.753,0.745,1.418,7.258,4.659,-0.521,-2.471,-2.757,2.743,-1.77,-4.0,1.474,5.385,-2.761,-2.735,0.491,2.721,1.712,1.746,2.982,-0.434,0.73,-2.753,-1.504,0.49,-4.754,-0.525,-3.755,1.13,2.139,2.751,-4.0,0.24,3.978,1.496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcGF,BTCUSDc,31,5.4613,8.192,4,0.3266,104.75,390,37.4359,1,15,0,0.015,2.0,1.5,0.0,0.5,16385,1,-0.389,6,0,1,20,0.3,3,-7.335,15.527,4.472,2.97,-1.52,-1.0,-1.0,0.994,2.976,-3.0,1.496,0.961,-0.508,-2.505,-0.506,-3.0,-1.522,3.482,0.995,0.989,-2.504,-1.028,1.464,-1.501,0.416,-2.51,-1.501,1.231,-0.5,-3.5,-1.002,-1.5,-0.505,-0.522,-4.0,0.989,-4.0,9.567,-2.0,-0.024,-2.0,-3.0,3.422,-2.0,-1.0,-4.0,3.766,4.978,-0.345,2.0,-3.0,0.0,-1.0,0.0,1.528,2.978,-1.0,-1.0,0.0,-1.0,1.494,-0.999,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,1.499,-1.0,0.0,0.0,1.498,-2.0,-0.506,1.498,3.012,-2.0,0.5,3.132,0.494,4.959,-2.492,1.494,2.879,9.534,6.37,-1.516,-1.874,-2.508,-0.503,-3.0,-4.0,1.971,7.721,-2.513,-2.481,0.989,3.465,-0.033,0.0,3.979,0.09,1.484,-2.504,-1.004,0.988,-4.504,-2.527,-2.0,-5.0,2.983,-1.503,-4.0,0.488,4.972,1.995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcGF,BTCUSDc,13,-2.2933,-3.44,4,-0.1936,0.0,440,55.6818,1,15,0,0.015,2.0,0.75,0.0,0.5,16385,1,-6.469,0,0,1,15,0.3,2,1.895,-5.335,2.237,2.234,2.719,0.0,-1.256,1.989,0.733,-0.521,0.748,1.234,-1.254,-1.504,-1.253,-1.253,-0.508,1.241,1.994,-1.252,-0.759,-2.514,-0.767,1.246,-0.012,-3.255,1.977,1.241,0.499,-4.25,-1.449,1.247,0.496,0.72,0.884,-2.253,-0.222,2.687,-1.261,0.634,-2.0,-1.256,-2.27,-0.171,0.477,1.981,0.492,1.99,-0.514,0.5,0.488,0.0,-1.0,0.0,-0.257,1.489,0.746,-1.0,0.0,1.493,0.747,0.743,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.75,-1.0,0.0,0.0,0.749,-0.256,0.242,0.749,-0.26,-2.0,-0.25,1.49,-0.253,3.723,-1.509,-0.009,-2.507,1.774,5.473,-1.512,-2.754,0.242,1.246,-1.771,0.006,1.201,-0.763,-2.514,-3.501,-0.506,1.232,-0.008,2.819,0.233,2.737,-0.766,-1.507,-0.752,1.236,-5.252,0.232,-2.756,-2.509,0.728,0.246,-0.503,-0.256,2.734,0.497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcGF,BTCUSDc,62,16.1933,24.29,4,1.6189,10.51,417,50.8393,1,15,0,0.015,1.5,1.0,0.0,0.5,16385,1,21.738,0,0,1,20,0.5,3,8.225,16.065,2.982,2.979,-2.014,2.286,-1.007,2.985,1.977,-0.029,0.997,-0.013,-1.005,-1.005,-1.004,-1.004,-0.01,1.988,-0.003,-0.007,-3.003,-2.018,-0.023,-0.001,1.585,-3.006,2.969,-0.013,0.999,-4.0,-1.007,0.0,0.995,2.231,3.274,-2.004,-1.448,-1.009,-1.014,1.605,-2.0,-3.0,0.008,0.004,0.969,1.998,1.98,2.986,-0.914,1.0,-3.0,0.0,-1.0,0.0,1.018,1.986,0.995,-1.0,0.0,1.99,0.996,0.991,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.999,-1.0,0.0,0.0,0.998,-0.014,1.4,0.998,-0.013,-2.0,0.0,1.988,-0.004,4.965,-1.011,-0.004,-2.01,3.936,1.954,-1.017,-2.005,-0.206,1.994,-1.016,0.051,0.976,2.581,-3.009,-1.991,-0.007,1.975,1.99,3.171,1.973,4.032,-0.017,-3.003,-2.002,-0.008,-4.003,3.034,-5.005,-0.953,1.984,3.409,-2.003,-0.008,2.982,0.997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcGF,BTCUSDc,27,9.8907,14.836,4,0.7788,30.97,420,49.2857,1,15,0,0.015,2.0,1.0,0.0,0.5,16385,1,10.242,0,0,1,20,0.3,3,3.096,11.74,2.982,2.979,-2.014,-1.0,-1.007,2.985,1.977,-0.029,0.997,-0.013,-1.005,-1.005,-1.004,-1.004,-0.01,1.988,-0.003,-0.007,-3.003,-2.018,-0.023,-0.001,2.152,-3.006,2.969,-0.013,0.999,-4.0,-1.007,0.0,0.995,-0.016,-1.003,-2.004,0.594,-1.009,-1.014,1.605,-2.0,-3.0,1.084,0.004,0.969,1.998,1.98,2.986,-0.914,1.0,-3.0,0.0,-1.0,0.0,1.018,1.986,0.995,-1.0,0.0,1.99,0.996,0.991,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.999,-1.0,0.0,0.0,0.998,-0.014,2.152,0.998,-0.013,-2.0,0.0,1.988,-0.004,4.965,-1.011,-0.004,-2.01,4.902,2.946,-1.017,-2.005,0.569,1.994,-2.016,-1.862,0.976,3.033,-3.009,-1.991,-0.007,1.975,1.99,4.375,1.973,4.032,-0.017,-3.003,-2.002,-0.008,-5.003,-0.012,-5.004,-0.055,1.984,0.999,-2.003,-0.008,2.982,0.997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcGF,BTCUSDc,49,-1.0573,-1.586,4,-0.089,0.0,438,56.1644,1,15,0,0.015,2.0,0.75,0.0,0.5,16385,1,-3.328,0,0,1,15,0.5,2,3.158,-4.744,2.237,2.234,2.719,0.0,-1.256,1.989,0.733,-0.521,0.748,1.234,-1.254,-1.504,-1.253,-1.253,-0.508,1.241,1.994,-1.252,-0.759,-2.514,-0.767,1.246,-0.012,-3.255,1.977,1.241,0.499,-4.25,-1.449,1.247,0.496,0.72,0.884,-2.253,-1.509,1.768,-1.261,0.634,-2.0,-1.256,-2.27,-0.171,0.477,1.981,0.492,1.99,-0.514,0.5,0.488,0.0,1.469,0.0,-0.257,1.489,0.746,-1.0,0.0,1.493,0.747,0.743,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.75,-1.0,0.0,0.0,0.749,-0.256,0.242,0.749,-0.26,-2.0,-0.25,1.49,-0.253,3.723,-1.509,-0.009,-2.507,1.774,4.969,-1.512,-2.754,0.242,1.246,-1.771,-0.796,1.201,-0.763,-2.514,-3.501,-0.506,1.232,-0.008,2.819,0.233,2.737,-0.766,-1.507,-0.752,1.236,-4.252,0.232,-2.756,-2.509,0.728,2.143,-0.503,-0.256,2.734,0.497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcGF,BTCUSDc,48,-1.062,-1.593,4,-0.0894,0.0,438,56.1644,1,15,0,0.015,1.5,0.75,0.0,0.5,16385,1,-3.335,0,0,1,15,0.5,2,3.158,-4.751,2.237,2.234,2.719,0.0,-1.256,1.989,0.733,-0.521,0.748,1.234,-1.254,-1.504,-1.253,-1.253,-0.508,1.241,1.994,-1.252,-0.759,-2.514,-0.767,1.246,-0.012,-3.255,1.977,1.241,0.499,-4.25,-1.449,1.247,0.496,0.72,0.884,-2.253,-1.509,1.768,-1.261,0.634,-2.0,-1.256,-2.27,-0.171,0.477,1.981,0.492,1.99,-0.514,0.5,0.488,0.0,1.469,0.0,-0.257,1.489,0.746,-1.0,0.0,1.493,0.747,0.743,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.75,-1.0,0.0,0.0,0.749,-0.256,0.242,0.749,-0.26,-2.0,-0.25,1.49,-0.253,3.723,-1.509,-0.009,-2.507,1.774,4.969,-1.512,-2.754,0.242,1.246,-1.771,-0.796,1.201,-0.763,-2.514,-3.501,-0.506,1.232,-0.008,2.819,0.233,2.737,-0.766,-1.507,-0.752,1.236,-4.252,0.232,-2.756,-2.509,0.728,2.136,-0.503,-0.256,2.734,0.497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcGF,BTCUSDc,20,18.6107,27.916,4,1.6609,64.88,386,33.4197,1,15,0,0.015,1.5,1.75,0.0,0.5,16385,1,9.805,8,0,1,15,0.3,2,11.829,16.087,5.219,3.465,0.467,-1.0,-1.0,1.492,0.486,-3.0,1.745,1.457,-3.0,-2.256,-0.257,-3.0,-0.553,4.229,1.494,-0.257,-0.511,-3.264,5.705,-1.252,5.35,-2.261,-1.251,-1.258,-0.25,-3.251,0.271,-1.25,-3.0,2.348,0.797,-1.256,-4.0,16.855,-2.0,-2.275,-2.0,-3.0,4.489,-2.0,-1.0,-4.0,2.308,5.974,-1.251,2.498,-3.0,0.0,-1.0,0.0,3.615,3.474,-1.0,-1.0,0.0,-1.0,1.744,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,1.749,-1.0,0.0,0.0,-1.0,-2.0,-0.257,1.747,-2.0,-2.0,0.736,3.724,0.743,2.468,-2.237,2.244,3.208,8.56,0.46,-1.269,-0.538,-2.259,1.496,-4.0,-5.0,2.469,11.522,-2.266,-2.226,1.487,4.208,2.237,-5.0,0.511,2.235,1.724,-0.512,0.496,1.486,-4.255,-1.28,-6.0,-4.0,6.73,-3.0,-2.253,0.737,5.968,2.494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcGF,BTCUSDc,23,25.7207,38.581,4,1.6094,58.24,376,31.383,1,15,0,0.015,2.0,2.0,0.0,0.5,16385,1,16.11,5,0,1,15,0.3,3,26.779,11.802,5.964,3.952,0.963,-1.0,-1.0,2.16,0.985,-3.0,1.994,1.954,-3.0,-2.007,-0.008,-3.0,0.085,7.984,1.993,-0.008,-0.013,-3.016,-1.022,-1.002,11.016,-2.013,-1.002,-1.009,-0.001,-3.001,1.887,-1.0,-3.0,2.449,1.398,-1.007,-4.0,22.465,-2.0,-2.028,-2.0,-3.0,5.609,-2.0,-1.0,-4.0,3.121,3.977,-1.002,2.998,-3.0,0.0,-1.0,0.0,-1.0,3.971,-1.0,-1.0,0.0,-1.0,1.993,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,1.999,-1.0,0.0,0.0,-1.0,-2.0,-0.008,1.997,-2.0,-2.0,0.992,4.274,0.992,-0.013,-1.984,2.991,5.776,-0.008,0.979,-1.022,-1.8,-2.011,1.996,-4.0,-5.0,2.966,13.963,-2.018,-1.971,1.986,4.953,3.341,-5.0,1.013,4.102,2.323,-2.005,-2.003,1.984,-4.006,-1.033,-6.0,-4.0,-0.891,-3.0,-2.004,-1.015,8.973,2.994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcGF,BTCUSDc,26,9.876,14.814,4,0.7777,31.01,420,49.2857,1,15,0,0.015,1.5,1.0,0.0,0.5,16385,1,10.22,0,0,1,20,0.3,3,3.096,11.718,2.982,2.979,-2.014,-1.0,-1.007,2.985,1.977,-0.029,0.997,-0.013,-1.005,-1.005,-1.004,-1.004,-0.01,1.988,-0.003,-0.007,-3.003,-2.018,-0.023,-0.001,2.152,-3.006,2.969,-0.013,0.999,-4.0,-1.007,0.0,0.995,-0.016,-1.003,-2.004,0.594,-1.009,-1.014,1.605,-2.0,-3.0,1.084,0.004,0.969,1.998,1.98,2.986,-0.914,1.0,-3.0,0.0,-1.0,0.0,1.018,1.986,0.995,-1.0,0.0,1.99,0.996,0.991,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.999,-1.0,0.0,0.0,0.998,-0.014,2.152,0.998,-0.013,-2.0,0.0,1.988,-0.004,4.965,-1.011,-0.004,-2.01,4.902,2.946,-1.017,-2.005,0.569,1.994,-2.016,-1.862,0.976,3.033,-3.009,-1.991,-0.007,1.975,1.99,4.359,1.973,4.032,-0.017,-3.003,-2.002,-0.008,-5.003,-0.012,-5.004,-0.061,1.984,0.999,-2.003,-0.008,2.982,0.997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcGF,BTCUSDc,18,9.817,19.634,3,0.9077,70.05,401,37.1571,1,15,0,0.015,1.5,1.5,0.0,0.5,16385,1,5.88,6,0,1,15,0.3,2,4.524,15.11,4.472,2.97,-0.028,-1.0,-1.0,0.993,2.976,-3.0,1.496,0.961,-0.508,-2.505,-0.506,-3.0,-1.521,3.482,0.995,0.989,-1.009,-1.028,1.464,-1.501,2.682,-2.51,-1.501,-1.507,-0.5,-3.5,-0.345,-1.5,-0.505,2.76,0.196,-1.505,-4.0,14.74,-2.0,-1.024,-2.0,-3.0,3.34,-2.0,-1.0,-4.0,3.981,4.978,-1.501,2.0,-3.0,0.0,-1.0,0.0,3.081,2.978,-1.0,-1.0,0.0,-1.0,1.494,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,1.499,-1.0,0.0,0.0,1.498,-2.0,-0.506,1.498,3.639,-2.0,0.5,3.173,0.494,4.959,-2.492,1.494,1.972,9.432,6.37,-1.516,-1.452,-2.508,0.996,-4.0,-5.0,1.971,8.081,-2.513,-2.481,0.989,3.465,1.132,-2.507,3.979,1.485,1.634,-2.504,-1.004,0.988,-4.504,-2.527,-6.0,-4.0,4.424,-1.503,-4.0,0.488,4.972,1.995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcGF,BTCUSDc,65,13.0915,26.183,3,1.3741,14.05,402,44.7761,1,15,0,0.015,2.0,1.25,0.0,0.5,16385,1,22.505,0,0,1,20,0.5,3,1.413,24.77,3.727,3.723,-1.767,2.917,-1.0,1.735,1.98,-3.0,1.247,0.483,-0.757,-0.507,-0.755,-0.755,-0.757,2.735,0.495,0.491,-2.753,-1.523,0.721,0.499,0.943,-2.758,0.483,0.483,-0.75,-3.75,-0.26,-1.75,-0.754,4.159,2.264,-1.754,-0.639,-0.511,-2.0,-0.52,-2.0,-3.0,0.705,-2.0,1.461,0.498,2.838,3.982,-0.631,1.5,-3.0,0.0,-1.0,0.0,1.273,2.482,-1.0,-1.0,0.0,0.24,1.245,1.239,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,1.249,-1.0,0.0,0.0,1.248,-2.0,2.625,1.248,0.233,-2.0,0.25,2.484,0.245,6.206,0.038,0.745,-0.082,5.79,3.179,-0.521,-2.471,-2.757,2.743,-0.77,-0.284,1.474,4.288,-2.761,-2.735,0.491,2.721,1.712,1.746,2.982,-0.434,0.73,-2.753,-1.504,0.49,-3.754,-0.525,-3.756,-0.076,1.657,2.503,-0.322,0.24,3.978,1.496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
