leg,sym,pass,score,nbpR,segpos,rf,oneop,ops,win,sizing,smaP,slowP,mult,step,tpR,trailR,half,mgmtTF,stack,extop1R,nmonster,addtrig,lineplace,nback,buffer,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25,w26,w27,w28,w29,w30,w31,w32,w33,w34,w35,w36,w37,w38,w39,w40,w41,w42,w43,w44,w45,w46,w47,w48,w49,w50,w51,w52,w53,w54,w55,w56,w57,w58,w59,w60,w61,w62,w63,w64,w65,w66,w67,w68,w69,w70,w71,w72,w73,w74,w75,w76,w77,w78,w79,w80,w81,w82,w83,w84,w85,w86,w87,w88,w89,w90,w91,w92,w93,w94,w95,w96,w97,w98,w99,w100,w101,w102,w103,w104,w105,w106,w107,w108,w109,w110,w111,w112,w113,w114,w115,w116,w117,w118,w119,w120,w121,w122,w123,w124,w125,w126,w127,w128,w129
GoldS210,XAUUSDc,41,-3.2053,-9.616,2,-0.3128,0.0,509,44.0079,1,5,0,0.015,1.4,1.0,0.0,0.5,15,1,-16.197,3,0,1,15,0.0,0.0,0.0,0.0,0.0,0.0,0.986,-0.936,-0.842,0.986,0.115,-1.407,-1.01,1.304,-1.047,-0.009,-4.001,0.284,0.137,-0.659,-3.0,-4.002,0.455,3.14,-1.812,2.318,0.08,1.277,3.722,-2.012,-5.0,-1.261,-4.0,0.915,-3.008,2.621,7.148,4.417,0.974,0.623,2.924,-3.0,-1.01,-1.002,-2.0,-0.002,0.777,-4.0,-3.063,0.165,-3.007,6.027,-0.009,-2.016,-2.007,-1.0,-4.009,-2.007,-3.02,-4.0,-0.009,4.924,6.577,-3.0,2.074,-1.035,-0.026,0.962,5.164,2.138,0.051,2.984,5.541,0.265,3.989,0.033,-2.006,-4.0,-1.001,-3.002,1.973,-0.12,2.348,-2.0,-0.046,-0.023,-1.015,-1.0,0.978,0.481,-0.271,-4.0,-2.001,3.17,-3.003,-2.017,3.922,0.504,6.211,-2.004,-1.029,0.0,-0.068,-2.0,-1.037,-3.042,-0.023,2.093,-0.019,0.973,4.57,-0.185,-5.0,-0.022,4.071,-0.42,-0.545,-4.016,2.18,0.011,-1.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GoldS210,XAUUSDc,95,-21.2988,-127.793,1,-0.6719,0.0,490,8.9796,1,5,0,0.015,2.0,2.5,0.0,0.5,15,1,-173.039,17,0,1,5,0.25,0.0,0.0,0.0,0.0,0.0,-0.999,45.891,-4.0,-4.0,-3.0,-6.0,-0.501,0.488,-3.0,1.146,-3.503,-3.0,-5.0,-4.0,-3.0,15.966,6.824,-6.0,-6.0,16.264,-1.518,-1.636,-3.0,-5.0,-5.0,-4.0,-4.0,-1.517,-5.0,-2.512,-7.0,-6.0,1.64,-3.0,-1.524,-3.0,-3.0,-5.0,-2.0,-3.0,-4.0,-3.0,7.194,9.282,-4.999,0.0,-4.0,-6.0,-4.0,-1.0,-4.51,-4.0,1.406,-5.0,1.442,22.473,-2.501,-3.0,-2.0,-5.0,-1.528,-4.999,-4.999,-2.0,-6.0,16.253,2.682,-2.0,0.472,-3.0,-4.0,-4.0,0.498,-1.506,-4.0,-4.0,-3.0,-4.0,-3.0,-6.0,14.374,-1.0,-7.0,-5.0,-1.51,-4.0,3.523,-2.526,-0.4,-5.0,10.629,-2.0,-4.999,-4.0,-5.0,0.0,0.852,-2.0,-3.0,-1.593,2.362,-2.561,-4.0,-2.0,-5.0,-6.0,-5.0,4.367,-6.0,-3.0,-4.0,-6.0,-4.0,-4.0,16.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GoldS210,XAUUSDc,84,10.1805,20.361,3,0.2728,109.41,503,22.4652,1,5,0,0.015,1.1,1.5,0.0,0.5,15,1,-1.916,28,0,1,5,0.25,0.0,0.0,0.0,0.0,0.0,1.479,4.981,-4.0,-1.508,-3.0,-6.0,7.461,-0.507,-3.0,-0.251,-4.502,-3.0,-5.0,-4.0,-3.0,-3.033,0.71,-3.519,1.46,2.8,-1.02,-2.131,-3.0,3.07,-5.0,-4.0,-4.0,-2.51,-2.511,11.124,-3.614,-6.0,1.374,-3.0,-0.022,-3.0,-0.515,-5.0,-2.0,-3.0,-4.0,-3.0,19.667,10.382,-2.509,29.579,-1.503,-6.0,-1.511,-1.0,-3.014,2.729,-1.771,-5.0,0.486,14.279,-1.007,-3.0,9.268,-4.0,-0.913,5.078,1.801,0.493,4.745,5.206,21.767,5.425,6.688,5.082,-4.0,-4.0,-0.501,-2.503,-1.509,8.785,7.453,15.963,0.944,-0.39,0.528,-1.0,-7.0,-2.521,5.343,-4.0,0.11,3.875,-2.049,-2.502,-0.068,-2.0,-4.999,-4.0,2.029,0.0,1.399,-2.0,-3.0,-2.559,0.465,4.118,-1.526,-0.539,2.168,-6.0,-5.0,1.481,-1.041,-3.0,2.185,-6.0,-1.533,-4.0,-1.508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GoldS210,XAUUSDc,102,6.028,12.056,3,0.6021,65.38,515,43.301,1,5,0,0.015,1.7,1.0,0.0,0.5,15,1,4.174,3,0,1,10,0.25,0.0,0.0,0.0,0.0,0.0,0.986,-0.899,-0.899,0.986,-1.598,-1.159,3.346,1.345,-1.047,-0.009,-4.001,-3.0,-2.992,0.09,-3.0,4.88,0.957,3.033,-1.607,2.522,0.004,1.863,3.819,-2.012,-5.0,-4.0,-4.0,-1.01,-3.008,3.886,5.398,9.209,1.251,-3.0,2.769,-3.0,-1.01,-1.007,-2.0,0.996,0.067,-4.0,3.127,0.118,-3.007,7.106,-0.009,-2.016,-2.007,-1.0,-4.009,-2.007,-0.747,-2.998,-0.009,7.469,-1.004,-3.0,2.753,6.198,-0.026,0.962,5.529,-1.004,-2.012,2.984,6.415,0.318,4.103,-0.005,-2.006,-4.0,-1.001,-3.002,1.973,0.463,5.953,-2.0,-0.046,-0.023,-1.015,-1.0,1.038,0.118,0.437,-4.0,-2.001,3.55,-3.003,-2.017,3.922,0.002,9.441,-2.004,-1.029,0.0,-0.068,-2.0,1.638,-3.042,-0.023,2.243,-0.019,0.973,1.927,-0.819,-5.0,-0.022,3.624,-4.0,0.033,0.556,1.978,0.011,-1.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GoldS210,XAUUSDc,16,-25.3088,-151.853,1,-1.0,0.0,483,6.0041,1,5,0,0.015,1.1,3.0,0.0,0.5,15,1,-199.499,13,0,1,5,0.0,0.0,0.0,0.0,0.0,0.0,-0.999,0.46,-4.0,-3.0,-4.0,-6.0,-1.0,0.986,-3.0,-2.996,-3.004,-3.999,-4.0,-4.0,-3.0,-6.0,9.881,-5.0,15.424,-5.0,-4.999,-5.998,-4.0,-4.0,-6.0,-3.0,-4.0,-5.0,-5.0,-2.016,-6.0,-5.0,9.008,12.933,-1.029,-3.0,-3.0,-5.0,-2.0,-2.999,-4.0,-3.0,-5.999,41.647,-5.0,-7.0,-4.0,-6.0,-3.999,-1.0,-4.011,-3.998,-1.459,-3.999,1.938,35.129,-5.0,-3.0,-2.0,-5.0,-3.999,-4.0,-5.998,22.055,-6.0,11.466,4.783,-2.0,-2.996,-3.0,-4.0,-4.0,0.997,-1.007,-3.999,-5.0,-3.0,-5.0,-3.0,11.128,22.658,-1.0,-7.0,-5.0,10.403,-4.0,5.228,-3.999,0.132,-5.0,-5.0,-2.0,-5.0,-4.0,-4.0,0.0,-2.134,-2.0,-2.999,-4.0,3.599,-1.073,-4.0,-2.0,-5.0,-6.0,-5.0,-4.0,-5.0,-4.0,-4.0,-6.0,-3.0,-5.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GoldS210,XAUUSDc,104,-10.3027,-30.908,2,-0.5554,0.0,495,26.2626,1,5,0,0.015,1.1,1.5,0.0,0.5,15,1,-43.123,16,0,1,10,0.25,0.0,0.0,0.0,0.0,0.0,1.479,-2.227,-2.999,-1.508,-4.0,-4.999,7.461,-0.506,-3.0,-0.382,-4.502,-3.0,-5.0,-3.0,-3.0,-3.385,1.286,-0.824,-3.254,2.103,1.767,0.245,-3.0,-0.37,-5.0,-4.0,-4.0,-2.51,-2.511,4.212,6.567,-5.0,5.501,-3.0,8.074,-3.0,-0.515,-1.37,-3.0,-3.0,-3.0,-4.0,10.398,0.315,-2.51,16.611,-1.503,-3.423,-1.511,-1.0,-3.014,-1.406,-1.559,-0.435,0.486,9.789,-1.007,-3.0,5.867,-4.0,-1.018,1.508,-4.0,0.493,-0.133,2.709,12.705,0.025,3.848,8.945,-4.0,-4.0,-0.501,-2.503,-1.509,4.583,6.951,7.879,0.944,-0.954,-0.137,-1.0,-2.996,-2.521,4.931,-4.0,-0.907,0.404,-2.087,-2.502,-0.068,-2.0,8.678,-4.0,0.595,0.0,1.399,-2.0,-2.0,-2.559,0.465,-0.431,-1.526,-0.539,2.342,-3.053,-5.0,1.481,-0.041,-4.0,1.39,-6.0,5.379,-4.0,-1.508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GoldS210,XAUUSDc,85,10.181,20.362,3,0.2728,109.4,503,22.4652,1,5,0,0.015,1.4,1.5,0.0,0.5,15,1,-1.915,28,0,1,5,0.25,0.0,0.0,0.0,0.0,0.0,1.479,4.981,-4.0,-1.508,-3.0,-6.0,7.461,-0.507,-3.0,-0.251,-4.502,-3.0,-5.0,-4.0,-3.0,-3.033,0.71,-3.519,1.46,2.8,-1.02,-2.131,-3.0,3.07,-5.0,-4.0,-4.0,-2.51,-2.511,11.124,-3.614,-6.0,1.374,-3.0,-0.022,-3.0,-0.515,-5.0,-2.0,-2.999,-4.0,-3.0,19.667,10.382,-2.509,29.579,-1.503,-6.0,-1.511,-1.0,-3.014,2.729,-1.771,-5.0,0.486,14.279,-1.007,-3.0,9.268,-4.0,-0.913,5.078,1.801,0.493,4.745,5.206,21.767,5.425,6.688,5.082,-4.0,-4.0,-0.501,-2.503,-1.509,8.785,7.453,15.963,0.944,-0.39,0.528,-1.0,-7.0,-2.521,5.343,-4.0,0.11,3.875,-2.049,-2.502,-0.068,-2.0,-4.999,-4.0,2.029,0.0,1.399,-2.0,-3.0,-2.559,0.465,4.118,-1.526,-0.539,2.168,-6.0,-5.0,1.481,-1.041,-3.0,2.185,-6.0,-1.533,-4.0,-1.508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GoldS210,XAUUSDc,21,18.2747,27.412,4,1.4124,93.17,515,42.9126,1,5,0,0.015,1.4,1.0,0.0,0.5,15,1,1.871,5,0,1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.986,-0.899,-0.899,0.986,-1.598,-1.159,-1.01,1.345,-1.047,-0.009,-4.001,-3.0,-2.992,0.09,-3.0,22.539,0.957,3.033,-1.607,3.745,1.464,1.902,3.819,-2.012,-5.0,-2.041,-4.0,-1.01,-3.008,3.886,6.253,11.832,1.251,-3.0,3.944,-3.0,-1.01,-1.007,-2.0,0.996,0.067,-4.0,3.122,0.118,-3.007,7.106,-0.009,-2.016,-2.007,-1.0,-4.009,-2.007,-0.747,-2.998,-0.009,7.772,-1.004,-3.0,2.753,8.901,-0.026,0.962,0.991,2.733,-2.012,2.984,6.415,0.318,4.103,-0.005,-2.006,-3.999,-1.001,-3.002,1.973,0.569,10.873,-2.0,-0.046,-0.023,-1.015,-1.0,1.038,0.118,0.683,-4.0,-2.001,3.55,-3.003,-2.017,3.922,0.002,0.259,-2.004,-1.029,0.0,-0.068,-2.0,1.638,-3.042,-0.023,2.243,-0.019,0.973,1.927,-0.819,-5.0,-0.022,3.624,-4.0,-0.967,-4.016,1.978,0.011,-1.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GoldS210,XAUUSDc,43,-3.1897,-9.569,2,-0.3112,0.0,509,44.0079,1,5,0,0.015,2.0,1.0,0.0,0.5,15,1,-16.17,3,0,1,15,0.0,0.0,0.0,0.0,0.0,0.0,0.986,-0.936,-0.842,0.986,0.115,-1.407,-1.01,1.304,-1.047,-0.009,-4.001,0.284,0.137,-0.659,-3.0,-4.002,0.455,3.14,-1.812,2.318,0.08,1.277,3.722,-2.012,-5.0,-1.261,-4.0,0.915,-3.008,2.621,7.148,4.417,0.974,0.623,2.924,-3.0,-1.01,-1.002,-2.0,-0.002,0.777,-4.0,-3.063,0.165,-3.007,6.027,-0.009,-2.016,-2.007,-1.0,-4.009,-2.007,-3.02,-4.0,-0.009,4.924,6.597,-3.0,2.074,-1.035,-0.026,0.962,5.164,2.162,0.051,2.984,5.544,0.265,3.989,0.033,-2.006,-4.0,-1.001,-3.002,1.973,-0.12,2.348,-2.0,-0.046,-0.023,-1.015,-1.0,0.978,0.481,-0.271,-4.0,-2.001,3.17,-3.003,-2.017,3.922,0.504,6.211,-2.004,-1.029,0.0,-0.068,-2.0,-1.037,-3.042,-0.023,2.093,-0.019,0.973,4.57,-0.185,-5.0,-0.022,4.071,-0.42,-0.545,-4.016,2.18,0.011,-1.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GoldS210,XAUUSDc,81,4.8795,9.759,3,0.3635,94.84,516,40.3101,1,5,0,0.015,1.4,1.0,0.0,0.5,15,1,0.504,7,0,1,5,0.25,0.0,0.0,0.0,0.0,0.0,0.986,-0.807,0.684,-0.014,-3.0,-0.189,3.346,5.184,-1.047,-0.009,-4.001,-3.0,-5.0,-4.0,-3.0,4.88,0.459,1.793,-0.913,3.461,0.386,2.169,2.597,-2.012,-5.0,-4.0,-4.0,-1.01,-3.008,4.924,6.485,-2.004,1.859,-3.0,-1.016,-3.0,-1.01,-1.007,-2.0,0.996,-0.758,-3.0,6.047,2.768,-3.006,14.877,-0.009,-2.016,-2.007,-1.0,-4.009,-2.007,-0.879,-5.0,-0.009,7.843,-1.004,-3.0,4.061,7.305,-0.026,0.962,2.985,-1.004,-2.012,2.984,5.7,2.993,4.464,0.644,-2.006,-4.0,-1.001,-3.002,1.973,-0.641,8.064,-2.0,-0.046,-0.023,-1.015,-1.0,1.586,2.014,0.628,-4.0,-1.541,5.468,-3.003,-2.017,3.922,0.286,10.374,-2.004,-1.029,0.0,-0.068,-2.0,-1.037,-3.042,-0.023,4.43,-0.019,0.973,1.927,-3.055,-5.0,-0.022,3.139,-3.0,-0.951,-4.016,-0.033,0.575,-1.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GoldS210,XAUUSDc,18,-25.3077,-151.846,1,-1.0,0.0,483,6.0041,1,5,0,0.015,1.7,3.0,0.0,0.5,15,1,-199.492,13,0,1,5,0.0,0.0,0.0,0.0,0.0,0.0,-0.999,0.46,-4.0,-3.0,-4.0,-6.0,-1.0,0.986,-3.0,-2.996,-3.004,-3.999,-4.0,-4.0,-3.0,-6.0,9.881,-5.0,15.424,-5.0,-4.999,-5.998,-4.0,-4.0,-6.0,-3.0,-4.0,-5.0,-5.0,-2.016,-6.0,-5.0,9.008,12.933,-1.029,-3.0,-3.0,-5.0,-2.0,-2.999,-4.0,-3.0,-5.999,41.647,-5.0,-7.0,-4.0,-6.0,-3.999,-1.0,-4.011,-3.998,-1.459,-3.999,1.938,35.129,-5.0,-3.0,-2.0,-5.0,-3.999,-4.0,-5.998,22.055,-6.0,11.473,4.783,-2.0,-2.996,-3.0,-4.0,-4.0,0.997,-1.007,-3.999,-5.0,-3.0,-5.0,-3.0,11.128,22.658,-1.0,-7.0,-5.0,10.403,-4.0,5.228,-3.999,0.132,-5.0,-5.0,-2.0,-5.0,-4.0,-4.0,0.0,-2.134,-2.0,-2.999,-4.0,3.599,-1.073,-4.0,-2.0,-5.0,-6.0,-5.0,-4.0,-5.0,-4.0,-4.0,-6.0,-3.0,-5.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GoldS210,XAUUSDc,61,-0.7465,-1.493,3,-0.0676,0.0,505,45.1485,1,5,0,0.015,1.4,1.0,0.0,0.5,15,1,-10.652,2,0,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.986,-0.767,-0.813,0.986,0.219,-1.598,2.307,1.023,-1.047,-0.009,-4.001,-0.117,-0.743,-0.675,-3.0,6.157,-0.306,0.553,-1.901,1.377,0.024,1.161,3.18,-2.012,-5.0,-2.041,-4.0,1.865,-3.008,1.537,3.977,6.18,0.974,0.948,2.467,-3.0,1.933,-1.002,-2.0,-0.002,-1.998,-4.0,4.309,0.045,-3.007,4.744,-0.009,-2.016,-2.007,-1.0,-4.009,-2.007,-3.02,-2.04,-0.009,5.86,2.663,-3.0,2.208,2.562,-0.026,0.962,5.113,-1.004,0.021,2.984,2.857,-0.003,3.989,-0.005,-2.006,-4.0,-1.001,-3.002,1.973,-0.509,2.097,-2.0,-0.046,-0.023,-1.015,-1.0,0.926,0.342,-0.731,-4.0,-2.001,-0.016,-2.009,-2.017,3.922,0.002,8.271,-2.004,2.817,0.0,-0.068,-2.0,1.406,-3.042,-0.023,1.955,-0.019,0.973,3.979,-0.026,-4.999,-0.022,3.038,-4.0,-0.675,-2.031,2.166,0.011,-1.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GoldS210,XAUUSDc,67,-2.665,-5.33,3,-0.198,0.0,477,30.608,1,5,0,0.015,2.0,1.5,0.0,0.5,15,1,-27.844,6,0,1,20,0.0,0.0,0.0,0.0,0.0,0.0,1.479,2.279,-3.0,-1.508,-1.495,-5.0,5.305,-0.507,-3.0,-0.495,-4.501,3.089,-1.267,-3.0,-3.0,18.514,-0.879,2.456,-0.615,2.429,1.6,-0.193,-3.0,-2.223,-5.0,-4.0,-4.0,-0.51,6.141,3.053,1.77,-2.485,4.451,3.473,7.134,-3.0,4.215,-0.496,-2.0,-2.0,-3.998,-4.0,11.486,-0.898,-2.51,-0.32,-1.503,-5.999,-1.511,-1.0,-3.014,-1.498,-5.0,1.906,0.486,6.367,-1.007,-3.0,4.093,-3.999,1.692,-0.013,-1.158,0.493,0.174,4.731,3.741,-0.503,4.444,4.79,-4.0,-4.0,-0.501,-2.503,2.81,0.522,2.017,1.935,0.944,-0.714,-0.463,-1.0,-2.482,5.078,0.894,-4.0,-1.349,-0.99,-1.475,-2.502,-0.068,-2.0,0.283,-4.0,5.198,0.0,1.399,-2.0,-2.0,-2.559,0.465,-0.002,-1.526,-0.539,8.398,-3.307,-4.999,1.03,-0.04,-4.0,1.861,-1.209,6.885,-3.999,-0.508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GoldS210,XAUUSDc,13,-17.5398,-105.239,1,-0.9252,0.0,484,8.8843,1,5,0,0.015,1.4,2.5,0.0,0.5,15,1,-174.57,17,0,1,5,0.0,0.0,0.0,0.0,0.0,0.0,-0.999,-0.355,-4.0,-3.0,-4.0,-6.0,-1.5,0.488,-3.0,1.146,-3.503,-3.999,-4.0,-4.0,-3.0,-6.0,6.824,-5.0,9.337,-5.0,-1.518,-1.635,-4.0,-4.0,-6.0,-3.0,-4.0,-1.517,-5.0,-2.513,-6.0,-5.0,1.64,10.011,-1.524,-3.0,-3.0,-5.0,-2.0,-2.999,-4.0,-3.0,-5.999,24.43,-5.0,0.0,-4.0,-6.0,-3.999,-1.0,-4.51,-3.998,-2.055,-3.999,1.442,31.549,-5.0,-3.0,-2.0,-5.0,-0.528,-4.0,64.333,16.17,-6.0,8.387,2.682,-2.0,0.476,-3.0,-4.0,-4.0,0.498,-1.506,-3.999,-5.0,-3.0,-5.0,-3.0,4.245,15.562,-1.0,-7.0,-5.0,7.82,-4.0,3.523,-0.526,-0.421,-5.0,-5.0,-2.0,-5.0,-4.0,-4.0,0.0,0.852,-2.0,-2.999,-1.593,2.362,-1.561,-4.0,-2.0,-5.0,-6.0,-5.0,11.739,-5.0,-4.0,-4.0,-6.0,-3.0,-5.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GoldS210,XAUUSDc,144,0.8915,1.783,3,0.0663,960.96,478,30.7531,1,5,0,0.015,1.1,1.5,0.0,0.5,15,1,-15.351,8,0,1,20,0.25,0.0,0.0,0.0,0.0,0.0,1.479,2.279,-3.0,-1.508,-1.495,-5.0,5.305,-0.507,-3.0,-0.495,-4.502,3.089,-1.272,-3.0,-3.0,13.134,5.299,2.456,-0.618,2.429,1.596,-2.499,-3.0,-2.223,-5.0,-4.0,-4.0,-0.51,4.756,3.041,1.77,-2.492,4.444,3.473,7.073,-3.0,4.104,-0.496,-2.0,3.806,-4.0,-4.0,9.158,-0.898,-2.51,10.116,-1.503,-5.998,-1.511,-1.0,-3.014,-1.498,-5.0,1.906,0.486,6.367,-1.007,-3.0,4.093,-4.0,1.692,-0.013,-1.158,0.493,0.174,4.722,2.722,0.497,4.444,4.789,-4.0,-4.0,-0.501,-2.503,2.81,0.522,2.017,1.935,0.944,-0.714,-0.463,-1.0,-2.482,5.064,0.894,-4.0,-4.0,-0.99,-1.475,-2.502,-0.068,-3.0,0.283,-4.0,5.198,0.0,1.399,-2.0,-2.0,-2.559,0.465,-0.002,-1.526,-0.539,8.398,-3.307,-4.999,1.03,-0.04,-4.0,1.861,-1.209,6.885,-4.0,-0.508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GoldS210,XAUUSDc,207,-3.7253,-22.352,1,-0.5341,0.0,480,30.4167,1,5,0,0.015,2.0,1.5,0.0,0.5,15,1,-29.048,4,0,1,15,0.5,0.0,0.0,0.0,0.0,0.0,1.479,1.474,-3.0,-1.508,-1.495,-5.0,4.371,-0.507,-3.0,-0.495,-4.502,2.843,-0.363,-3.0,-3.0,2.696,-0.978,3.372,-3.275,-0.556,1.819,-2.144,-3.0,-1.894,-5.0,-4.0,-4.0,-0.51,2.384,3.471,2.44,-2.455,4.353,1.607,4.78,-3.0,-0.515,-0.408,-2.0,2.702,-4.0,-4.0,7.26,-0.611,-2.51,7.44,-1.503,-2.83,-1.511,-1.0,-3.014,-1.479,-5.0,-4.0,0.486,5.052,-1.007,-3.0,3.794,-4.0,2.535,0.072,2.147,0.493,0.876,4.812,5.448,-0.063,4.444,5.777,-4.0,-4.0,-0.501,-2.503,3.212,1.215,2.595,2.138,0.944,-0.954,-0.511,-1.0,-2.349,6.154,1.926,-4.0,0.284,-0.359,-2.252,-2.502,-0.068,-2.0,5.78,-4.0,0.24,0.0,1.399,-2.0,-3.0,-2.559,0.465,0.257,-1.526,-0.539,9.893,-3.35,-5.0,0.998,-0.041,1.295,2.079,-6.0,5.002,-3.0,-1.508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GoldS210,XAUUSDc,22,18.2953,27.443,4,1.4144,93.07,515,42.9126,1,5,0,0.015,1.7,1.0,0.0,0.5,15,1,1.902,5,0,1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.986,-0.899,-0.899,0.986,-1.598,-1.159,-1.01,1.345,-1.047,-0.009,-4.001,-3.0,-2.992,0.09,-3.0,22.539,0.957,3.033,-1.607,3.745,1.464,1.902,3.819,-2.012,-5.0,-2.041,-4.0,-1.01,-3.008,3.886,6.253,11.858,1.251,-3.0,3.944,-3.0,-1.01,-1.007,-2.0,0.996,0.067,-4.0,3.127,0.118,-3.007,7.106,-0.009,-2.016,-2.007,-1.0,-4.009,-2.007,-0.747,-2.998,-0.009,7.772,-1.004,-3.0,2.753,8.901,-0.026,0.962,0.991,2.733,-2.012,2.984,6.415,0.318,4.103,-0.005,-2.006,-3.999,-1.001,-3.002,1.973,0.569,10.873,-2.0,-0.046,-0.023,-1.015,-1.0,1.038,0.118,0.683,-4.0,-2.001,3.55,-3.003,-2.017,3.922,0.002,0.259,-2.004,-1.029,0.0,-0.068,-2.0,1.638,-3.042,-0.023,2.243,-0.019,0.973,1.927,-0.819,-5.0,-0.022,3.624,-4.0,-0.967,-4.016,1.978,0.011,-1.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GoldS210,XAUUSDc,302,-2.5795,-5.159,3,-0.1766,0.0,499,46.8938,1,5,0,0.015,1.7,1.0,0.0,0.5,15,1,-7.49,0,0,1,20,0.75,0.0,0.0,0.0,0.0,0.0,0.986,-0.767,-0.813,0.986,0.219,-1.598,1.413,1.023,-1.047,-0.009,-4.001,-0.117,2.58,-0.829,-3.0,-1.203,-0.577,2.926,-1.899,1.298,0.024,0.163,2.435,-2.012,-5.0,-2.041,-4.0,0.356,-3.008,1.482,3.373,3.427,0.974,-0.44,1.431,-3.0,1.741,-1.002,-2.0,-0.002,0.464,-4.0,3.352,0.045,-3.007,4.557,-0.009,-2.016,-2.007,-1.0,-4.009,-2.007,-3.02,-1.04,-1.009,4.718,1.437,-3.0,2.208,1.131,-0.026,0.962,5.61,1.578,0.021,2.984,2.922,-0.003,3.989,-0.005,-0.346,-4.0,-1.001,-3.002,1.973,-0.581,2.097,-2.0,-0.046,-0.023,-1.015,-1.0,0.926,-0.254,-0.731,-4.0,-1.562,3.464,-2.009,-2.017,3.922,0.445,6.158,-2.004,2.588,0.0,-0.068,-2.0,1.406,-3.042,-0.023,1.955,-0.019,0.973,3.979,-1.418,-4.0,-0.022,3.038,-1.298,0.325,-0.341,2.166,0.011,-1.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GoldS210,XAUUSDc,151,-4.1667,-12.5,2,-0.1781,0.0,459,22.0044,1,5,0,0.015,2.0,2.0,0.0,0.5,15,1,-47.745,19,0,1,20,0.25,0.0,0.0,0.0,0.0,0.0,1.972,7.05,-3.0,-1.01,-0.992,-5.0,9.105,-0.01,-3.0,0.011,-4.003,-2.0,-0.562,-3.0,-3.0,31.245,11.618,4.058,-2.566,3.045,1.224,-0.009,-3.0,1.253,-5.0,-4.0,-4.0,-0.014,-0.984,0.299,-4.0,-4.999,0.571,7.941,0.97,-3.0,6.505,0.01,-2.0,-2.0,-4.0,-4.0,2.823,-2.351,-2.014,2.302,-1.004,-5.998,-1.014,-1.0,-5.008,-3.999,-5.0,4.926,0.947,5.626,-2.001,-4.0,-0.061,-3.999,2.893,-0.947,-3.0,0.991,-0.089,1.092,-0.991,-0.999,6.819,-3.0,-4.0,-4.0,-0.002,-2.005,3.847,-4.0,0.016,4.826,-0.009,5.814,0.158,-1.0,-1.964,1.464,10.924,-4.0,-4.0,-3.021,-4.0,-5.0,-2.063,-3.0,-4.0,-1.676,2.243,0.0,-0.11,-2.0,-2.0,-2.076,0.953,1.009,-1.0,-2.0,13.57,-5.999,-4.999,2.078,6.013,-4.0,4.916,-5.0,10.93,-3.999,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
